Step    T(K)      KE(kJ)        PE(kJ)       TotE(kJ)
  1490    127.250  5.76091e+02 -2.13448e+03 -1.55838e+03
  1500    126.799  5.74047e+02 -2.13267e+03 -1.55863e+03
  1510    126.142  5.71074e+02 -2.12934e+03 -1.55827e+03
  1520    124.985  5.65834e+02 -2.12402e+03 -1.55819e+03
  1530    123.148  5.57517e+02 -2.11588e+03 -1.55837e+03
  1540    120.800  5.46888e+02 -2.10527e+03 -1.55838e+03
  1550    118.386  5.35959e+02 -2.09428e+03 -1.55832e+03
  1560    116.450  5.27195e+02 -2.08596e+03 -1.55876e+03
  1570    115.482  5.22814e+02 -2.08148e+03 -1.55866e+03
  1580    115.737  5.23970e+02 -2.08243e+03 -1.55846e+03
  1590    117.066  5.29985e+02 -2.08831e+03 -1.55832e+03
  1600    118.967  5.38589e+02 -2.09675e+03 -1.55816e+03
  1610    120.836  5.47051e+02 -2.10524e+03 -1.55819e+03
  1620    122.202  5.53236e+02 -2.11140e+03 -1.55817e+03
  1630    122.834  5.56097e+02 -2.11424e+03 -1.55815e+03
  1640    122.748  5.55706e+02 -2.11389e+03 -1.55819e+03
  1650    122.165  5.53068e+02 -2.11119e+03 -1.55812e+03
  1660    121.380  5.49517e+02 -2.10764e+03 -1.55812e+03
  1670    120.592  5.45946e+02 -2.10401e+03 -1.55806e+03
  1680    119.828  5.42490e+02 -2.10021e+03 -1.55772e+03
  1690    119.026  5.38857e+02 -2.09632e+03 -1.55746e+03
  1700    118.119  5.34753e+02 -2.09187e+03 -1.55712e+03
  1710    117.093  5.30108e+02 -2.08703e+03 -1.55692e+03
  1720    116.031  5.25297e+02 -2.08216e+03 -1.55686e+03
  1730    115.123  5.21186e+02 -2.07816e+03 -1.55698e+03
  1740    114.598  5.18811e+02 -2.07563e+03 -1.55682e+03
  1750    114.587  5.18762e+02 -2.07580e+03 -1.55704e+03
  1760    115.068  5.20940e+02 -2.07790e+03 -1.55696e+03
  1770    115.891  5.24667e+02 -2.08171e+03 -1.55704e+03
  1780    116.848  5.28998e+02 -2.08600e+03 -1.55700e+03
  1790    117.741  5.33039e+02 -2.09010e+03 -1.55706e+03
  1800    118.427  5.36147e+02 -2.09303e+03 -1.55688e+03
  1810    118.805  5.37859e+02 -2.09476e+03 -1.55690e+03
  1820    118.787  5.37774e+02 -2.09461e+03 -1.55684e+03
  1830    118.350  5.35797e+02 -2.09238e+03 -1.55658e+03
  1840    117.614  5.32466e+02 -2.08904e+03 -1.55658e+03
  1850    116.827  5.28900e+02 -2.08538e+03 -1.55648e+03
  1860    116.242  5.26254e+02 -2.08287e+03 -1.55662e+03
  1870    115.989  5.25109e+02 -2.08161e+03 -1.55650e+03
  1880    116.017  5.25236e+02 -2.08177e+03 -1.55654e+03
