Step    T(K)    KE(kJ)    PE(kJ)    TotE(kJ)    P(MPa)
  1370     71.464  3.23534e+02 -2.04547e+03 -1.72193e+03  7.73339e+00
  1380     72.416  3.27845e+02 -2.05465e+03 -1.72680e+03  6.34801e+00
  1390     73.357  3.32105e+02 -2.06341e+03 -1.73130e+03  5.03460e+00
  1400     74.279  3.36276e+02 -2.07197e+03 -1.73570e+03  3.78287e+00
  1410     75.173  3.40323e+02 -2.07971e+03 -1.73939e+03  2.63353e+00
  1420     76.032  3.44213e+02 -2.08681e+03 -1.74260e+03  1.57744e+00
  1430     76.851  3.47921e+02 -2.09330e+03 -1.74538e+03  6.14469e-01
  1440     77.626  3.51430e+02 -2.09919e+03 -1.74776e+03 -2.55261e-01
  1450     78.355  3.54730e+02 -2.10465e+03 -1.74992e+03 -1.04126e+00
  1460     79.037  3.57816e+02 -2.10924e+03 -1.75143e+03 -1.71728e+00
  1470     79.673  3.60697e+02 -2.11359e+03 -1.75289e+03 -2.32110e+00
  1480     80.267  3.63388e+02 -2.11714e+03 -1.75376e+03 -2.82179e+00
  1490     80.826  3.65917e+02 -2.12004e+03 -1.75412e+03 -3.22922e+00
  1500     81.359  3.68328e+02 -2.12244e+03 -1.75411e+03 -3.55594e+00
  1510     81.876  3.70673e+02 -2.12453e+03 -1.75385e+03 -3.81704e+00
  1520     82.393  3.73010e+02 -2.12602e+03 -1.75301e+03 -3.99914e+00
  1530     82.923  3.75410e+02 -2.12749e+03 -1.75208e+03 -4.14135e+00
  1540     83.483  3.77945e+02 -2.12839e+03 -1.75044e+03 -4.21421e+00
  1550     84.087  3.80683e+02 -2.12901e+03 -1.74833e+03 -4.24090e+00
  1560     84.752  3.83691e+02 -2.12957e+03 -1.74588e+03 -4.23790e+00
  1570     85.489  3.87029e+02 -2.12998e+03 -1.74295e+03 -4.20355e+00
  1580     86.311  3.90750e+02 -2.13015e+03 -1.73940e+03 -4.13516e+00
  1590     87.227  3.94897e+02 -2.13057e+03 -1.73567e+03 -4.06595e+00
  1600     88.247  3.99515e+02 -2.13069e+03 -1.73118e+03 -3.96444e+00
  1610     89.381  4.04646e+02 -2.13109e+03 -1.72644e+03 -3.86611e+00
  1620     90.636  4.10330e+02 -2.13124e+03 -1.72091e+03 -3.74053e+00
  1630     92.020  4.16597e+02 -2.13191e+03 -1.71531e+03 -3.63483e+00
  1640     93.539  4.23473e+02 -2.13261e+03 -1.70913e+03 -3.51840e+00
  1650     95.194  4.30963e+02 -2.13327e+03 -1.70230e+03 -3.38573e+00
  1660     96.981  4.39057e+02 -2.13387e+03 -1.69481e+03 -3.23268e+00
  1670     98.896  4.47723e+02 -2.13457e+03 -1.68685e+03 -3.06530e+00
  1680    100.926  4.56915e+02 -2.13544e+03 -1.67852e+03 -2.88308e+00
  1690    103.060  4.66578e+02 -2.13632e+03 -1.66974e+03 -2.67263e+00
  1700    105.289  4.76665e+02 -2.13691e+03 -1.66024e+03 -2.40986e+00
  1710    107.602  4.87140e+02 -2.13713e+03 -1.65000e+03 -2.08655e+00
  1720    109.995  4.97973e+02 -2.13765e+03 -1.63968e+03 -1.73858e+00
  1730    112.462  5.09142e+02 -2.13763e+03 -1.62848e+03 -1.31148e+00
  1740    114.997  5.20618e+02 -2.13709e+03 -1.61648e+03 -8.03453e-01
  1750    117.590  5.32356e+02 -2.13659e+03 -1.60423e+03 -2.43579e-01
  1760    120.226  5.44290e+02 -2.13551e+03 -1.59122e+03  4.09443e-01
  1770    122.886  5.56331e+02 -2.13382e+03 -1.57749e+03  1.16248e+00
  1780    125.546  5.68375e+02 -2.13186e+03 -1.56349e+03  1.99816e+00
  1790    128.185  5.80320e+02 -2.12919e+03 -1.54887e+03  2.94732e+00
  1800    130.781  5.92075e+02 -2.12593e+03 -1.53385e+03  4.00427e+00
  1810    133.320  6.03571e+02 -2.12180e+03 -1.51823e+03  5.18708e+00
  1820    135.796  6.14777e+02 -2.11693e+03 -1.50216e+03  6.48629e+00
  1830    138.208  6.25699e+02 -2.11141e+03 -1.48571e+03  7.89375e+00
  1840    140.571  6.36398e+02 -2.10514e+03 -1.46874e+03  9.40828e+00
  1850    142.909  6.46982e+02 -2.09823e+03 -1.45125e+03  1.10162e+01
  1860    145.256  6.57608e+02 -2.09121e+03 -1.43360e+03  1.26761e+01
  1870    147.653  6.68459e+02 -2.08414e+03 -1.41568e+03  1.43728e+01
  1880    150.140  6.79718e+02 -2.07718e+03 -1.39746e+03  1.60878e+01
  1890    152.750  6.91534e+02 -2.07040e+03 -1.37886e+03  1.78084e+01
  1900    155.498  7.03974e+02 -2.06362e+03 -1.35964e+03  1.95404e+01
  1910    158.376  7.17002e+02 -2.05737e+03 -1.34037e+03  2.12503e+01
  1920    161.353  7.30483e+02 -2.05115e+03 -1.32067e+03  2.29698e+01
  1930    164.385  7.44210e+02 -2.04509e+03 -1.30088e+03  2.46944e+01
  1940    167.425  7.57972e+02 -2.03902e+03 -1.28105e+03  2.64375e+01
  1950    170.438  7.71613e+02 -2.03267e+03 -1.26105e+03  2.82163e+01
  1960    173.410  7.85067e+02 -2.02605e+03 -1.24099e+03  3.00258e+01
  1970    176.350  7.98376e+02 -2.01910e+03 -1.22072e+03  3.18647e+01
  1980    179.285  8.11665e+02 -2.01231e+03 -1.20065e+03  3.36910e+01
  1990    182.256  8.25113e+02 -2.00573e+03 -1.18062e+03  3.54915e+01
  2000    185.303  8.38910e+02 -1.99981e+03 -1.16090e+03  3.72266e+01
  2010    188.460  8.53203e+02 -1.99437e+03 -1.14117e+03  3.88981e+01
  2020    191.740  8.68049e+02 -1.98969e+03 -1.12164e+03  4.04819e+01
  2030    195.130  8.83397e+02 -1.98569e+03 -1.10229e+03  4.19803e+01
  2040    198.595  8.99085e+02 -1.98218e+03 -1.08310e+03  4.34070e+01
  2050    202.083  9.14875e+02 -1.97923e+03 -1.06435e+03  4.47610e+01
  2060    205.538  9.30518e+02 -1.97684e+03 -1.04633e+03  4.60463e+01
  2070    208.908  9.45771e+02 -1.97459e+03 -1.02882e+03  4.72942e+01
  2080    212.142  9.60412e+02 -1.97222e+03 -1.01181e+03  4.85241e+01
  2090    215.187  9.74198e+02 -1.96993e+03 -9.95728e+02  4.97284e+01
  2100    217.976  9.86828e+02 -1.96717e+03 -9.80346e+02  5.09450e+01
  2110    220.426  9.97917e+02 -1.96394e+03 -9.66020e+02  5.21833e+01
  2120    222.435  1.00701e+03 -1.95962e+03 -9.52601e+02  5.34880e+01
  2130    223.917  1.01372e+03 -1.95393e+03 -9.40212e+02  5.48808e+01
  2140    224.834  1.01788e+03 -1.94708e+03 -9.29206e+02  5.63465e+01
  2150    225.250  1.01976e+03 -1.93917e+03 -9.19415e+02  5.78614e+01
  2160    225.327  1.02011e+03 -1.93078e+03 -9.10670e+02  5.93601e+01
  2170    225.264  1.01982e+03 -1.92332e+03 -9.03504e+02  6.07221e+01
  2180    225.187  1.01947e+03 -1.91717e+03 -8.97698e+02  6.19030e+01
  2190    225.113  1.01914e+03 -1.91202e+03 -8.92887e+02  6.29150e+01
  2200    224.992  1.01859e+03 -1.90810e+03 -8.89513e+02  6.37493e+01
  2210    224.778  1.01762e+03 -1.90511e+03 -8.87491e+02  6.44300e+01
  2220    224.453  1.01615e+03 -1.90270e+03 -8.86556e+02  6.49837e+01
  2230    224.002  1.01411e+03 -1.90109e+03 -8.86981e+02  6.54034e+01
  2240    223.394  1.01135e+03 -1.90009e+03 -8.88731e+02  6.57077e+01
  2250    222.581  1.00767e+03 -1.89924e+03 -8.91568e+02  6.59358e+01
  2260    221.506  1.00281e+03 -1.89840e+03 -8.95587e+02  6.61102e+01
  2270    220.122  9.96541e+02 -1.89733e+03 -9.00792e+02  6.62547e+01
  2280    218.400  9.88744e+02 -1.89600e+03 -9.07258e+02  6.63804e+01
  2290    216.334  9.79392e+02 -1.89394e+03 -9.14548e+02  6.65202e+01
  2300    213.934  9.68525e+02 -1.89144e+03 -9.22917e+02  6.66574e+01
  2310    211.216  9.56220e+02 -1.88843e+03 -9.32210e+02  6.67958e+01
  2320    208.201  9.42573e+02 -1.88470e+03 -9.42122e+02  6.69461e+01
  2330    204.919  9.27715e+02 -1.88074e+03 -9.53028e+02  6.70737e+01
  2340    201.419  9.11868e+02 -1.87644e+03 -9.64573e+02  6.71796e+01
  2350    197.786  8.95421e+02 -1.87237e+03 -9.76949e+02  6.72164e+01
  2360    194.150  8.78961e+02 -1.86845e+03 -9.89486e+02  6.71708e+01
  2370    190.676  8.63231e+02 -1.86589e+03 -1.00265e+03  6.69459e+01
  2380    187.528  8.48980e+02 -1.86512e+03 -1.01614e+03  6.64930e+01
  2390    184.826  8.36748e+02 -1.86642e+03 -1.02968e+03  6.57792e+01
  2400    182.605  8.26693e+02 -1.87031e+03 -1.04362e+03  6.47713e+01
  2410    180.805  8.18543e+02 -1.87654e+03 -1.05799e+03  6.34957e+01
  2420    179.295  8.11711e+02 -1.88429e+03 -1.07258e+03  6.20257e+01
  2430    177.924  8.05504e+02 -1.89316e+03 -1.08766e+03  6.04148e+01
  2440    176.557  7.99313e+02 -1.90193e+03 -1.10262e+03  5.87665e+01
  2450    175.099  7.92711e+02 -1.91066e+03 -1.11795e+03  5.71003e+01
  2460    173.500  7.85472e+02 -1.91892e+03 -1.13345e+03  5.54587e+01
  2470    171.752  7.77562e+02 -1.92673e+03 -1.14917e+03  5.38510e+01
  2480    169.886  7.69112e+02 -1.93406e+03 -1.16494e+03  5.22835e+01
  2490    167.947  7.60334e+02 -1.94141e+03 -1.18107e+03  5.07247e+01
  2500    165.977  7.51414e+02 -1.94840e+03 -1.19698e+03  4.91977e+01
  2510    163.992  7.42428e+02 -1.95529e+03 -1.21286e+03  4.76877e+01
  2520    161.973  7.33289e+02 -1.96199e+03 -1.22870e+03  4.62066e+01
  2530    159.874  7.23787e+02 -1.96826e+03 -1.24448e+03  4.47774e+01
  2540    157.643  7.13684e+02 -1.97392e+03 -1.26024e+03  4.34218e+01
  2550    155.245  7.02828e+02 -1.97853e+03 -1.27570e+03  4.21738e+01
  2560    152.678  6.91208e+02 -1.98222e+03 -1.29102e+03  4.10271e+01
  2570    149.972  6.78957e+02 -1.98529e+03 -1.30633e+03  3.99612e+01
  2580    147.175  6.66293e+02 -1.98719e+03 -1.32089e+03  3.90033e+01
  2590    144.338  6.53450e+02 -1.98917e+03 -1.33572e+03  3.80688e+01
  2600    141.503  6.40617e+02 -1.99037e+03 -1.34975e+03  3.72034e+01
  2610    138.703  6.27940e+02 -1.99134e+03 -1.36340e+03  3.63678e+01
  2620    135.966  6.15549e+02 -1.99264e+03 -1.37709e+03  3.55206e+01
  2630    133.329  6.03611e+02 -1.99353e+03 -1.38992e+03  3.47005e+01
  2640    130.843  5.92355e+02 -1.99502e+03 -1.40267e+03  3.38352e+01
  2650    128.570  5.82063e+02 -1.99714e+03 -1.41508e+03  3.29129e+01
  2660    126.569  5.73009e+02 -2.00003e+03 -1.42702e+03  3.19148e+01
  2670    124.884  5.65380e+02 -2.00365e+03 -1.43827e+03  3.08360e+01
  2680    123.526  5.59229e+02 -2.00841e+03 -1.44918e+03  2.96495e+01
  2690    122.471  5.54452e+02 -2.01450e+03 -1.46004e+03  2.83485e+01
  2700    121.667  5.50812e+02 -2.02128e+03 -1.47047e+03  2.69803e+01
  2710    121.047  5.48006e+02 -2.02852e+03 -1.48051e+03  2.55733e+01
  2720    120.540  5.45713e+02 -2.03590e+03 -1.49019e+03  2.41604e+01
  2730    120.083  5.43642e+02 -2.04330e+03 -1.49965e+03  2.27627e+01
  2740    119.624  5.41565e+02 -2.05046e+03 -1.50889e+03  2.14069e+01
  2750    119.128  5.39319e+02 -2.05714e+03 -1.51782e+03  2.01175e+01
  2760    118.573  5.36805e+02 -2.06316e+03 -1.52635e+03  1.89118e+01
  2770    117.951  5.33990e+02 -2.06829e+03 -1.53430e+03  1.78071e+01
  2780    117.266  5.30888e+02 -2.07318e+03 -1.54229e+03  1.67642e+01
  2790    116.531  5.27561e+02 -2.07743e+03 -1.54987e+03  1.58068e+01
  2800    115.766  5.24096e+02 -2.08106e+03 -1.55697e+03  1.49305e+01
  2810    114.992  5.20595e+02 -2.08419e+03 -1.56360e+03  1.41243e+01
  2820    114.233  5.17159e+02 -2.08740e+03 -1.57024e+03  1.33479e+01
  2830    113.510  5.13883e+02 -2.09035e+03 -1.57647e+03  1.26169e+01
  2840    112.840  5.10852e+02 -2.09290e+03 -1.58205e+03  1.19364e+01
  2850    112.240  5.08135e+02 -2.09567e+03 -1.58754e+03  1.12642e+01
  2860    111.719  5.05776e+02 -2.09856e+03 -1.59278e+03  1.06039e+01
  2870    111.285  5.03810e+02 -2.10141e+03 -1.59760e+03  9.96255e+00
  2880    110.940  5.02252e+02 -2.10417e+03 -1.60192e+03  9.34280e+00
  2890    110.687  5.01104e+02 -2.10700e+03 -1.60589e+03  8.73405e+00
  2900    110.523  5.00361e+02 -2.10989e+03 -1.60953e+03  8.13712e+00
  2910    110.442  4.99995e+02 -2.11279e+03 -1.61280e+03  7.55717e+00
  2920    110.435  4.99963e+02 -2.11565e+03 -1.61569e+03  6.99895e+00
  2930    110.487  5.00201e+02 -2.11858e+03 -1.61837e+03  6.45924e+00
  2940    110.583  5.00634e+02 -2.12150e+03 -1.62087e+03  5.94458e+00
  2950    110.706  5.01192e+02 -2.12407e+03 -1.62288e+03  5.48104e+00
  2960    110.843  5.01812e+02 -2.12647e+03 -1.62466e+03  5.05915e+00
  2970    110.984  5.02450e+02 -2.12844e+03 -1.62599e+03  4.69711e+00
  2980    111.124  5.03083e+02 -2.13020e+03 -1.62712e+03  4.38276e+00
  2990    111.261  5.03705e+02 -2.13152e+03 -1.62782e+03  4.13039e+00
  3000    111.398  5.04324e+02 -2.13284e+03 -1.62851e+03  3.91326e+00
  3010    111.539  5.04963e+02 -2.13359e+03 -1.62862e+03  3.76443e+00
  3020    111.693  5.05659e+02 -2.13401e+03 -1.62835e+03  3.66744e+00
  3030    111.870  5.06463e+02 -2.13417e+03 -1.62771e+03  3.61555e+00
  3040    112.083  5.07427e+02 -2.13425e+03 -1.62682e+03  3.59523e+00
  3050    112.343  5.08602e+02 -2.13428e+03 -1.62568e+03  3.60186e+00
  3060    112.658  5.10028e+02 -2.13401e+03 -1.62398e+03  3.64810e+00
  3070    113.032  5.11723e+02 -2.13367e+03 -1.62195e+03  3.71917e+00
  3080    113.465  5.13681e+02 -2.13341e+03 -1.61973e+03  3.80500e+00
  3090    113.951  5.15880e+02 -2.13295e+03 -1.61707e+03  3.92275e+00
  3100    114.485  5.18297e+02 -2.13254e+03 -1.61424e+03  4.05694e+00
  3110    115.062  5.20909e+02 -2.13180e+03 -1.61089e+03  4.23114e+00
  3120    115.679  5.23705e+02 -2.13117e+03 -1.60746e+03  4.41918e+00
  3130    116.334  5.26671e+02 -2.13040e+03 -1.60373e+03  4.63549e+00
  3140    117.023  5.29788e+02 -2.12943e+03 -1.59964e+03  4.88547e+00
  3150    117.737  5.33022e+02 -2.12817e+03 -1.59515e+03  5.17451e+00
  3160    118.468  5.36331e+02 -2.12690e+03 -1.59057e+03  5.48806e+00
  3170    119.206  5.39670e+02 -2.12512e+03 -1.58545e+03  5.85723e+00
  3180    119.941  5.42999e+02 -2.12322e+03 -1.58022e+03  6.25926e+00
  3190    120.670  5.46302e+02 -2.12087e+03 -1.57457e+03  6.71482e+00
  3200    121.396  5.49586e+02 -2.11812e+03 -1.56853e+03  7.21963e+00
  3210    122.127  5.52897e+02 -2.11497e+03 -1.56207e+03  7.77082e+00
  3220    122.883  5.56320e+02 -2.11167e+03 -1.55535e+03  8.34936e+00
  3230    123.692  5.59981e+02 -2.10842e+03 -1.54844e+03  8.93844e+00
  3240    124.589  5.64041e+02 -2.10540e+03 -1.54136e+03  9.52056e+00
  3250    125.614  5.68683e+02 -2.10248e+03 -1.53379e+03  1.00967e+01
  3260    126.804  5.74069e+02 -2.09992e+03 -1.52585e+03  1.06456e+01
  3270    128.180  5.80300e+02 -2.09809e+03 -1.51779e+03  1.11424e+01
  3280    129.745  5.87384e+02 -2.09686e+03 -1.50948e+03  1.15947e+01
  3290    131.477  5.95225e+02 -2.09618e+03 -1.50096e+03  1.20101e+01
  3300    133.337  6.03646e+02 -2.09558e+03 -1.49193e+03  1.24247e+01
  3310    135.276  6.12423e+02 -2.09499e+03 -1.48257e+03  1.28504e+01
