Step    T(K)    KE(kJ)    PE(kJ)    TotE(kJ)    P(MPa)
  1680    128.083  1.19806e+03 -4.35003e+03 -3.15197e+03  1.11282e+00
  1690    133.926  1.25271e+03 -4.34146e+03 -3.08875e+03  3.14455e+00
  1700    140.109  1.31054e+03 -4.33207e+03 -3.02153e+03  5.32915e+00
  1710    146.511  1.37043e+03 -4.32034e+03 -2.94990e+03  7.72976e+00
  1720    152.967  1.43082e+03 -4.30579e+03 -2.87497e+03  1.03793e+01
  1730    159.315  1.49020e+03 -4.28712e+03 -2.79692e+03  1.33280e+01
  1740    165.458  1.54766e+03 -4.26422e+03 -2.71656e+03  1.65742e+01
  1750    171.372  1.60298e+03 -4.23762e+03 -2.63465e+03  2.00794e+01
  1760    177.074  1.65630e+03 -4.20899e+03 -2.55268e+03  2.37615e+01
  1770    182.503  1.70709e+03 -4.17805e+03 -2.47096e+03  2.76000e+01
  1780    187.483  1.75367e+03 -4.14471e+03 -2.39103e+03  3.15786e+01
  1790    191.860  1.79462e+03 -4.10773e+03 -2.31311e+03  3.57026e+01
  1800    195.672  1.83027e+03 -4.06894e+03 -2.23867e+03  3.98533e+01
  1810    199.126  1.86258e+03 -4.03052e+03 -2.16794e+03  4.38754e+01
  1820    202.468  1.89384e+03 -3.99680e+03 -2.10296e+03  4.75503e+01
  1830    205.842  1.92540e+03 -3.96838e+03 -2.04298e+03  5.07904e+01
  1840    209.161  1.95645e+03 -3.94623e+03 -1.98979e+03  5.35381e+01
  1850    212.234  1.98519e+03 -3.92835e+03 -1.94316e+03  5.58413e+01
  1860    215.139  2.01236e+03 -3.91673e+03 -1.90436e+03  5.76023e+01
  1870    217.909  2.03827e+03 -3.91177e+03 -1.87349e+03  5.87917e+01
  1880    220.045  2.05825e+03 -3.91004e+03 -1.85179e+03  5.95785e+01
  1890    221.111  2.06822e+03 -3.90762e+03 -1.83940e+03  6.01469e+01
  1900    220.985  2.06704e+03 -3.90374e+03 -1.83670e+03  6.05476e+01
  1910    219.647  2.05452e+03 -3.89819e+03 -1.84366e+03  6.08019e+01
  1920    217.237  2.03198e+03 -3.89273e+03 -1.86075e+03  6.08484e+01
  1930    214.155  2.00315e+03 -3.88910e+03 -1.88594e+03  6.05954e+01
  1940    210.649  1.97037e+03 -3.88954e+03 -1.91918e+03  5.99600e+01
  1950    206.559  1.93210e+03 -3.89224e+03 -1.96013e+03  5.90409e+01
  1960    201.793  1.88753e+03 -3.89459e+03 -2.00706e+03  5.79524e+01
  1970    196.658  1.83949e+03 -3.89907e+03 -2.05958e+03  5.66010e+01
  1980    191.639  1.79254e+03 -3.90876e+03 -2.11621e+03  5.48441e+01
  1990    186.992  1.74908e+03 -3.92563e+03 -2.17655e+03  5.26037e+01
  2000    182.604  1.70803e+03 -3.94743e+03 -2.23939e+03  4.99902e+01
  2010    178.161  1.66648e+03 -3.97116e+03 -2.30468e+03  4.71783e+01
  2020    173.331  1.62130e+03 -3.99262e+03 -2.37132e+03  4.43923e+01
  2030    167.911  1.57060e+03 -4.00963e+03 -2.43903e+03  4.17769e+01
  2040    162.019  1.51549e+03 -4.02116e+03 -2.50567e+03  3.93886e+01
  2050    156.112  1.46023e+03 -4.03150e+03 -2.57127e+03  3.70631e+01
  2060    150.767  1.41024e+03 -4.04501e+03 -2.63477e+03  3.46022e+01
  2070    146.345  1.36888e+03 -4.06558e+03 -2.69670e+03  3.18478e+01
  2080    142.743  1.33518e+03 -4.09191e+03 -2.75672e+03  2.88674e+01
  2090    139.534  1.30516e+03 -4.11957e+03 -2.81441e+03  2.58776e+01
  2100    136.303  1.27495e+03 -4.14507e+03 -2.87012e+03  2.30747e+01
  2110    132.815  1.24232e+03 -4.16555e+03 -2.92322e+03  2.06097e+01
  2120    129.010  1.20673e+03 -4.18059e+03 -2.97386e+03  1.85272e+01
  2130    124.966  1.16890e+03 -4.19001e+03 -3.02111e+03  1.68341e+01
  2140    120.846  1.13037e+03 -4.19495e+03 -3.06459e+03  1.54737e+01
  2150    116.850  1.09299e+03 -4.19744e+03 -3.10445e+03  1.43491e+01
  2160    113.174  1.05860e+03 -4.19926e+03 -3.14066e+03  1.33670e+01
  2170    109.948  1.02842e+03 -4.20169e+03 -3.17327e+03  1.24563e+01
  2180    107.159  1.00234e+03 -4.20480e+03 -3.20245e+03  1.16050e+01
  2190    104.693  9.79279e+02 -4.20691e+03 -3.22764e+03  1.08660e+01
  2200    102.514  9.58888e+02 -4.20826e+03 -3.24937e+03  1.02247e+01
  2210    100.749  9.42380e+02 -4.21075e+03 -3.26837e+03  9.58923e+00
  2220     99.587  9.31515e+02 -4.21502e+03 -3.28350e+03  8.89779e+00
  2230     99.124  9.27180e+02 -4.22248e+03 -3.29530e+03  8.08159e+00
  2240     99.328  9.29092e+02 -4.23360e+03 -3.30451e+03  7.12660e+00
  2250    100.109  9.36393e+02 -4.24669e+03 -3.31030e+03  6.10127e+00
  2260    101.338  9.47897e+02 -4.26081e+03 -3.31292e+03  5.06835e+00
  2270    102.838  9.61927e+02 -4.27434e+03 -3.31241e+03  4.12317e+00
  2280    104.405  9.76585e+02 -4.28577e+03 -3.30919e+03  3.36166e+00
  2290    105.878  9.90354e+02 -4.29362e+03 -3.30326e+03  2.87046e+00
  2300    107.179  1.00253e+03 -4.29654e+03 -3.29401e+03  2.70893e+00
  2310    108.362  1.01359e+03 -4.29512e+03 -3.28153e+03  2.85202e+00
  2320    109.624  1.02540e+03 -4.29143e+03 -3.26603e+03  3.19944e+00
  2330    111.253  1.04064e+03 -4.28873e+03 -3.24809e+03  3.60081e+00
  2340    113.457  1.06125e+03 -4.28752e+03 -3.22628e+03  4.00443e+00
  2350    116.225  1.08715e+03 -4.28900e+03 -3.20185e+03  4.37702e+00
  2360    119.371  1.11657e+03 -4.29067e+03 -3.17410e+03  4.82653e+00
  2370    122.650  1.14724e+03 -4.29104e+03 -3.14380e+03  5.44219e+00
  2380    125.876  1.17741e+03 -4.28750e+03 -3.11008e+03  6.33351e+00
  2390    128.981  1.20646e+03 -4.27996e+03 -3.07350e+03  7.51043e+00
  2400    132.018  1.23487e+03 -4.26912e+03 -3.03425e+03  8.93608e+00
  2410    135.107  1.26376e+03 -4.25636e+03 -2.99260e+03  1.05403e+01
  2420    138.340  1.29400e+03 -4.24312e+03 -2.94912e+03  1.22531e+01
  2430    141.723  1.32564e+03 -4.22887e+03 -2.90323e+03  1.40758e+01
  2440    145.174  1.35793e+03 -4.21315e+03 -2.85522e+03  1.60216e+01
