Step    T(K)    KE(kJ)    PE(kJ)    TotE(kJ)    P(MPa)
  1180      6.956  3.14065e+01 -1.63321e-01  3.12432e+01  5.70869e-03
  1190      8.975  4.05212e+01 -1.63620e-01  4.03576e+01  7.37839e-03
  1200     11.693  5.27911e+01 -1.63965e-01  5.26271e+01  9.62610e-03
  1210     15.381  6.94409e+01 -1.64363e-01  6.92766e+01  1.26762e-02
  1220     20.425  9.22131e+01 -1.64826e-01  9.20483e+01  1.68479e-02
  1230     27.377  1.23600e+02 -1.65360e-01  1.23435e+02  2.25977e-02
  1240     37.030  1.67183e+02 -1.65995e-01  1.67017e+02  3.05818e-02
  1250     50.529  2.28125e+02 -1.66742e-01  2.27958e+02  4.17459e-02
  1260     69.523  3.13878e+02 -1.67633e-01  3.13711e+02  5.74554e-02
  1270     96.393  4.35192e+02 -1.68705e-01  4.35024e+02  7.96795e-02
  1280    134.557  6.07490e+02 -1.69993e-01  6.07320e+02  1.11243e-01
  1290    188.861  8.52662e+02 -1.71570e-01  8.52490e+02  1.56158e-01
  1300    266.051  1.20116e+03 -1.73507e-01  1.20098e+03  2.20000e-01
  1310    375.185  1.69387e+03 -1.75903e-01  1.69369e+03  3.10263e-01
  1320    527.702  2.38244e+03 -1.78896e-01  2.38226e+03  4.36407e-01
  1330    736.497  3.32510e+03 -1.82661e-01  3.32492e+03  6.09098e-01
  1340   1012.875  4.57288e+03 -1.87427e-01  4.57269e+03  8.37685e-01
  1350   1359.996  6.14005e+03 -1.93482e-01  6.13985e+03  1.12478e+00
  1360   1762.419  7.95689e+03 -2.01184e-01  7.95669e+03  1.45762e+00
  1370   2175.199  9.82049e+03 -2.10934e-01  9.82027e+03  1.79902e+00
  1380   2522.462  1.13883e+04 -2.23088e-01  1.13881e+04  2.08624e+00
  1390   2717.485  1.22688e+04 -2.37841e-01  1.22685e+04  2.24753e+00
  1400   2702.559  1.22014e+04 -2.55072e-01  1.22011e+04  2.23518e+00
  1410   2482.330  1.12071e+04 -2.74180e-01  1.12068e+04  2.05303e+00
  1420   2120.936  9.57550e+03 -2.94206e-01  9.57521e+03  1.75412e+00
  1430   1705.701  7.70082e+03 -3.14036e-01  7.70050e+03  1.41068e+00
  1440   1308.904  5.90938e+03 -3.32699e-01  5.90905e+03  1.08249e+00
  1450    971.042  4.38402e+03 -3.49599e-01  4.38367e+03  8.03042e-01
  1460    704.322  3.17984e+03 -3.64496e-01  3.17947e+03  5.82436e-01
  1470    503.934  2.27514e+03 -3.77410e-01  2.27476e+03  4.16695e-01
  1480    358.066  1.61658e+03 -3.88486e-01  1.61619e+03  2.96046e-01
  1490    253.902  1.14630e+03 -3.97950e-01  1.14591e+03  2.09890e-01
  1500    180.303  8.14025e+02 -4.06022e-01  8.13619e+02  1.49016e-01
  1510    128.544  5.80347e+02 -4.12919e-01  5.79934e+02  1.06205e-01
  1520     92.166  4.16107e+02 -4.18816e-01  4.15689e+02  7.61148e-02
  1530     66.541  3.00417e+02 -4.23877e-01  2.99993e+02  5.49193e-02
  1540     48.416  2.18585e+02 -4.28227e-01  2.18156e+02  3.99267e-02
  1550     35.524  1.60382e+02 -4.31983e-01  1.59950e+02  2.92632e-02
  1560     26.296  1.18720e+02 -4.35234e-01  1.18284e+02  2.16299e-02
  1570     19.644  8.86858e+01 -4.38064e-01  8.82478e+01  1.61270e-02
  1580     14.812  6.68726e+01 -4.40538e-01  6.64321e+01  1.21302e-02
  1590     11.276  5.09068e+01 -4.42708e-01  5.04641e+01  9.20475e-03
  1600      8.667  3.91281e+01 -4.44620e-01  3.86835e+01  7.04640e-03
  1610      6.727  3.03687e+01 -4.46313e-01  2.99223e+01  5.44123e-03
  1620      5.272  2.38021e+01 -4.47818e-01  2.33542e+01  4.23784e-03
  1630      4.173  1.88398e+01 -4.49165e-01  1.83907e+01  3.32841e-03
  1640      3.336  1.50601e+01 -4.50377e-01  1.46098e+01  2.63565e-03
  1650      2.693  1.21586e+01 -4.51472e-01  1.17071e+01  2.10380e-03
